date,team_a,team_b,score,sidefeature1,sidefeature2
2020-01-20,1610612766,1610612753,189.0,0.465,0.341
2020-01-20,1610612739,1610612752,192.0,0.256,0.27899999999999997
2020-01-20,1610612748,1610612758,231.0,0.35700000000000004,0.69
2020-01-20,1610612745,1610612760,219.0,0.5579999999999999,0.634
2020-01-20,1610612763,1610612740,242.0,0.3720000000000001,0.47600000000000003
2020-01-20,1610612749,1610612741,209.0,0.364,0.8640000000000001
2020-01-20,1610612738,1610612747,246.0,0.81,0.659
2020-01-20,1610612750,1610612743,207.0,0.69,0.35700000000000004
2020-01-20,1610612756,1610612759,238.0,0.439,0.429
2020-01-20,1610612762,1610612754,206.0,0.6509999999999999,0.69
2020-01-20,1610612757,1610612744,253.0,0.22699999999999998,0.409
2020-01-19,1610612759,1610612748,209.0,0.7070000000000001,0.425
2020-01-19,1610612743,1610612754,222.0,0.643,0.7070000000000001
2020-01-18,1610612740,1610612746,263.0,0.69,0.381
2020-01-18,1610612751,1610612749,214.0,0.86,0.45
2020-01-18,1610612738,1610612756,242.0,0.415,0.675
2020-01-18,1610612737,1610612765,239.0,0.35700000000000004,0.23800000000000002
2020-01-18,1610612752,1610612755,177.0,0.628,0.262
2020-01-18,1610612741,1610612739,234.0,0.28600000000000003,0.349
2020-01-18,1610612750,1610612761,234.0,0.659,0.366
2020-01-18,1610612745,1610612747,239.0,0.805,0.65
2020-01-18,1610612744,1610612753,204.0,0.47600000000000003,0.209
2020-01-18,1610612760,1610612757,225.0,0.419,0.5479999999999999
2020-01-18,1610612762,1610612758,224.0,0.366,0.6829999999999999
2020-01-17,1610612754,1610612750,230.0,0.375,0.634
2020-01-17,1610612755,1610612741,189.0,0.35700000000000004,0.619
2020-01-17,1610612761,1610612764,251.0,0.325,0.65
2020-01-17,1610612763,1610612739,222.0,0.293,0.46299999999999997
2020-01-17,1610612760,1610612748,223.0,0.7,0.561
2020-01-17,1610612759,1610612737,241.0,0.22,0.436
2020-01-17,1610612742,1610612757,232.0,0.429,0.634
2020-01-16,1610612752,1610612756,219.0,0.4,0.268
2020-01-16,1610612749,1610612738,251.0,0.6920000000000001,0.857
2020-01-16,1610612740,1610612762,270.0,0.7,0.366
2020-01-16,1610612744,1610612743,265.0,0.7,0.214
2020-01-16,1610612746,1610612753,217.0,0.488,0.6829999999999999
2020-01-15,1610612738,1610612765,219.0,0.341,0.711
2020-01-15,1610612755,1610612751,223.0,0.462,0.61
2020-01-15,1610612748,1610612759,206.0,0.447,0.6920000000000001
2020-01-15,1610612741,1610612764,221.0,0.33299999999999996,0.341
2020-01-15,1610612750,1610612754,203.0,0.625,0.385
2020-01-15,1610612760,1610612761,251.0,0.6409999999999999,0.575
2020-01-15,1610612743,1610612766,186.0,0.349,0.6920000000000001
2020-01-15,1610612745,1610612757,224.0,0.415,0.667
2020-01-15,1610612758,1610612742,250.0,0.625,0.375
2020-01-15,1610612747,1610612753,237.0,0.475,0.825
2020-01-14,1610612737,1610612756,233.0,0.41,0.2
2020-01-14,1610612751,1610612762,225.0,0.6920000000000001,0.474
2020-01-14,1610612763,1610612745,231.0,0.684,0.45
2020-01-14,1610612749,1610612752,230.0,0.275,0.8540000000000001
2020-01-14,1610612744,1610612742,221.0,0.615,0.22
2020-01-14,1610612746,1610612739,231.0,0.3,0.675
2020-01-13,1610612765,1610612740,227.0,0.35,0.35
2020-01-13,1610612754,1610612755,196.0,0.625,0.615
2020-01-13,1610612738,1610612741,214.0,0.35,0.703
2020-01-13,1610612750,1610612760,221.0,0.564,0.395
2020-01-13,1610612757,1610612766,227.0,0.35700000000000004,0.4
2020-01-13,1610612758,1610612753,226.0,0.462,0.385
2020-01-13,1610612747,1610612739,227.0,0.308,0.821
2020-01-12,1610612752,1610612748,245.0,0.711,0.256
2020-01-12,1610612764,1610612762,243.0,0.684,0.342
2020-01-12,1610612751,1610612737,194.0,0.205,0.45899999999999996
2020-01-12,1610612761,1610612759,209.0,0.4320000000000001,0.6579999999999999
2020-01-12,1610612763,1610612744,224.0,0.225,0.436
2020-01-12,1610612743,1610612746,218.0,0.6920000000000001,0.684
2020-01-12,1610612756,1610612766,192.0,0.366,0.395
2020-01-11,1610612745,1610612750,248.0,0.405,0.6759999999999999
2020-01-11,1610612738,1610612740,245.0,0.359,0.6940000000000001
2020-01-11,1610612765,1610612741,207.0,0.33299999999999996,0.359
2020-01-11,1610612760,1610612747,235.0,0.816,0.579
2020-01-11,1610612742,1610612755,200.0,0.6409999999999999,0.605
2020-01-11,1610612743,1610612739,214.0,0.289,0.703
2020-01-11,1610612757,1610612749,223.0,0.85,0.41
2020-01-10,1610612764,1610612737,212.0,0.21100000000000002,0.324
2020-01-10,1610612752,1610612740,234.0,0.342,0.263
2020-01-10,1610612751,1610612748,230.0,0.73,0.444
2020-01-10,1610612741,1610612754,221.0,0.605,0.342
2020-01-10,1610612763,1610612759,255.0,0.444,0.42100000000000004
2020-01-10,1610612756,1610612753,192.0,0.474,0.37799999999999995
2020-01-10,1610612762,1610612766,201.0,0.375,0.6759999999999999
2020-01-10,1610612742,1610612747,243.0,0.8109999999999999,0.622
2020-01-10,1610612758,1610612749,233.0,0.846,0.395
2020-01-10,1610612746,1610612744,209.0,0.231,0.684
2020-01-09,1610612765,1610612739,227.0,0.27,0.368
2020-01-09,1610612755,1610612738,207.0,0.7140000000000001,0.632
2020-01-09,1610612750,1610612757,218.0,0.42100000000000004,0.389
