date,team_a,team_b,score
2019-12-21,1610612766,1610612762,221.0
2019-12-21,1610612751,1610612737,234.0
2019-12-21,1610612765,1610612741,226.0
2019-12-21,1610612755,1610612764,233.0
2019-12-21,1610612752,1610612749,225.0
2019-12-21,1610612763,1610612758,234.0
2019-12-21,1610612759,1610612746,243.0
2019-12-21,1610612756,1610612745,264.0
2019-12-21,1610612757,1610612750,219.0
2019-12-20,1610612739,1610612763,221.0
2019-12-20,1610612754,1610612758,224.0
2019-12-20,1610612738,1610612765,207.0
2019-12-20,1610612761,1610612764,240.0
2019-12-20,1610612748,1610612752,243.0
2019-12-20,1610612755,1610612742,215.0
2019-12-20,1610612760,1610612756,234.0
2019-12-20,1610612743,1610612750,209.0
2019-12-20,1610612757,1610612753,221.0
2019-12-20,1610612744,1610612740,208.0
2019-12-19,1610612737,1610612762,217.0
2019-12-19,1610612749,1610612747,215.0
2019-12-19,1610612759,1610612751,223.0
2019-12-19,1610612746,1610612745,239.0
2019-12-18,1610612739,1610612766,198.0
2019-12-18,1610612765,1610612761,211.0
2019-12-18,1610612764,1610612741,219.0
2019-12-18,1610612755,1610612748,212.0
2019-12-18,1610612750,1610612740,206.0
2019-12-18,1610612760,1610612763,248.0
2019-12-18,1610612743,1610612753,217.0
2019-12-18,1610612742,1610612738,212.0
2019-12-18,1610612757,1610612744,234.0
2019-12-17,1610612766,1610612758,212.0
2019-12-17,1610612754,1610612747,207.0
2019-12-17,1610612752,1610612737,263.0
2019-12-17,1610612740,1610612751,209.0
2019-12-17,1610612762,1610612753,211.0
2019-12-17,1610612746,1610612756,219.0
2019-12-16,1610612765,1610612764,252.0
2019-12-16,1610612761,1610612739,246.0
2019-12-16,1610612745,1610612759,216.0
2019-12-16,1610612763,1610612748,229.0
2019-12-16,1610612749,1610612742,236.0
2019-12-16,1610612760,1610612741,215.0
2019-12-16,1610612756,1610612757,221.0
2019-12-15,1610612740,1610612753,249.0
2019-12-15,1610612754,1610612766,192.0
2019-12-15,1610612737,1610612747,197.0
2019-12-15,1610612751,1610612755,198.0
2019-12-15,1610612743,1610612752,216.0
2019-12-15,1610612744,1610612758,179.0
2019-12-14,1610612756,1610612759,240.0
2019-12-14,1610612761,1610612751,212.0
2019-12-14,1610612741,1610612746,215.0
2019-12-14,1610612763,1610612764,239.0
2019-12-14,1610612742,1610612748,240.0
2019-12-14,1610612749,1610612739,233.0
2019-12-14,1610612745,1610612765,222.0
2019-12-14,1610612743,1610612760,212.0
2019-12-13,1610612753,1610612745,237.0
2019-12-13,1610612755,1610612740,225.0
2019-12-13,1610612748,1610612747,223.0
2019-12-13,1610612737,1610612754,210.0
