,date,team_a,team_b,score
466,2019-12-21,1610612752,1610612749,225.0
467,2019-12-21,1610612763,1610612758,234.0
468,2019-12-21,1610612759,1610612746,243.0
469,2019-12-21,1610612756,1610612745,264.0
470,2019-12-21,1610612757,1610612750,219.0
471,2019-12-20,1610612739,1610612763,221.0
472,2019-12-20,1610612754,1610612758,224.0
473,2019-12-20,1610612738,1610612765,207.0
474,2019-12-20,1610612761,1610612764,240.0
475,2019-12-20,1610612748,1610612752,243.0
476,2019-12-20,1610612755,1610612742,215.0
477,2019-12-20,1610612760,1610612756,234.0
478,2019-12-20,1610612743,1610612750,209.0
479,2019-12-20,1610612757,1610612753,221.0
480,2019-12-20,1610612744,1610612740,208.0
481,2019-12-19,1610612737,1610612762,217.0
482,2019-12-19,1610612749,1610612747,215.0
483,2019-12-19,1610612759,1610612751,223.0
484,2019-12-19,1610612746,1610612745,239.0
485,2019-12-18,1610612739,1610612766,198.0
486,2019-12-18,1610612765,1610612761,211.0
487,2019-12-18,1610612764,1610612741,219.0
488,2019-12-18,1610612755,1610612748,212.0
489,2019-12-18,1610612750,1610612740,206.0
490,2019-12-18,1610612760,1610612763,248.0
491,2019-12-18,1610612743,1610612753,217.0
492,2019-12-18,1610612742,1610612738,212.0
493,2019-12-18,1610612757,1610612744,234.0
494,2019-12-17,1610612766,1610612758,212.0
495,2019-12-17,1610612754,1610612747,207.0
496,2019-12-17,1610612752,1610612737,263.0
497,2019-12-17,1610612740,1610612751,209.0
498,2019-12-17,1610612762,1610612753,211.0
499,2019-12-17,1610612746,1610612756,219.0
500,2019-12-16,1610612765,1610612764,252.0
501,2019-12-16,1610612761,1610612739,246.0
502,2019-12-16,1610612745,1610612759,216.0
503,2019-12-16,1610612763,1610612748,229.0
504,2019-12-16,1610612749,1610612742,236.0
505,2019-12-16,1610612760,1610612741,215.0
506,2019-12-16,1610612756,1610612757,221.0
507,2019-12-15,1610612740,1610612753,249.0
508,2019-12-15,1610612754,1610612766,192.0
509,2019-12-15,1610612737,1610612747,197.0
510,2019-12-15,1610612751,1610612755,198.0
511,2019-12-15,1610612743,1610612752,216.0
512,2019-12-15,1610612744,1610612758,179.0
513,2019-12-14,1610612756,1610612759,240.0
514,2019-12-14,1610612761,1610612751,212.0
515,2019-12-14,1610612741,1610612746,215.0
516,2019-12-14,1610612763,1610612764,239.0
517,2019-12-14,1610612742,1610612748,240.0
518,2019-12-14,1610612749,1610612739,233.0
519,2019-12-14,1610612745,1610612765,222.0
520,2019-12-14,1610612743,1610612760,212.0
521,2019-12-13,1610612753,1610612745,237.0
522,2019-12-13,1610612755,1610612740,225.0
523,2019-12-13,1610612748,1610612747,223.0
524,2019-12-13,1610612737,1610612754,210.0
525,2019-12-13,1610612741,1610612766,156.0
526,2019-12-13,1610612763,1610612749,241.0
527,2019-12-13,1610612762,1610612744,220.0
528,2019-12-13,1610612750,1610612746,241.0
529,2019-12-13,1610612758,1610612752,204.0
530,2019-12-12,1610612738,1610612755,224.0
531,2019-12-12,1610612759,1610612739,226.0
532,2019-12-12,1610612765,1610612742,233.0
533,2019-12-12,1610612743,1610612757,213.0
534,2019-12-11,1610612739,1610612745,226.0
535,2019-12-11,1610612754,1610612738,239.0
536,2019-12-11,1610612753,1610612747,183.0
537,2019-12-11,1610612761,1610612746,204.0
538,2019-12-11,1610612751,1610612766,221.0
539,2019-12-11,1610612741,1610612737,238.0
540,2019-12-11,1610612750,1610612762,243.0
541,2019-12-11,1610612756,1610612763,223.0
542,2019-12-11,1610612749,1610612740,239.0
543,2019-12-11,1610612758,1610612760,187.0
544,2019-12-11,1610612744,1610612752,246.0
545,2019-12-10,1610612766,1610612764,221.0
546,2019-12-10,1610612755,1610612743,189.0
547,2019-12-10,1610612748,1610612737,256.0
548,2019-12-10,1610612757,1610612752,202.0
549,2019-12-09,1610612754,1610612746,209.0
550,2019-12-09,1610612738,1610612739,198.0
551,2019-12-09,1610612741,1610612761,185.0
552,2019-12-09,1610612745,1610612758,237.0
553,2019-12-09,1610612749,1610612753,211.0
554,2019-12-09,1610612740,1610612765,208.0
555,2019-12-09,1610612756,1610612750,234.0
556,2019-12-09,1610612762,1610612760,194.0
557,2019-12-09,1610612744,1610612763,212.0
558,2019-12-08,1610612751,1610612743,207.0
559,2019-12-08,1610612766,1610612737,229.0
560,2019-12-08,1610612748,1610612741,215.0
561,2019-12-08,1610612755,1610612761,214.0
562,2019-12-08,1610612764,1610612746,254.0
563,2019-12-08,1610612742,1610612758,216.0
564,2019-12-08,1610612757,1610612760,204.0
565,2019-12-08,1610612747,1610612750,267.0
566,2019-12-07,1610612742,1610612740,214.0
567,2019-12-07,1610612752,1610612754,207.0
568,2019-12-07,1610612755,1610612739,235.0
569,2019-12-07,1610612745,1610612756,224.0
570,2019-12-07,1610612762,1610612763,238.0
571,2019-12-06,1610612766,1610612751,215.0
572,2019-12-06,1610612739,1610612753,180.0
573,2019-12-06,1610612765,1610612754,209.0
574,2019-12-06,1610612738,1610612743,203.0
575,2019-12-06,1610612748,1610612764,215.0
576,2019-12-06,1610612741,1610612744,198.0
577,2019-12-06,1610612760,1610612750,266.0
578,2019-12-06,1610612749,1610612746,210.0
579,2019-12-06,1610612759,1610612758,209.0
580,2019-12-06,1610612757,1610612747,249.0
581,2019-12-05,1610612764,1610612755,232.0
582,2019-12-05,1610612752,1610612743,221.0
583,2019-12-05,1610612761,1610612745,228.0
584,2019-12-05,1610612740,1610612756,271.0
585,2019-12-04,1610612766,1610612744,197.0
586,2019-12-04,1610612765,1610612749,230.0
587,2019-12-04,1610612753,1610612756,242.0
588,2019-12-04,1610612737,1610612751,248.0
589,2019-12-04,1610612738,1610612748,205.0
590,2019-12-04,1610612741,1610612763,205.0
591,2019-12-04,1610612760,1610612754,207.0
592,2019-12-04,1610612742,1610612750,235.0
593,2019-12-04,1610612762,1610612747,217.0
594,2019-12-04,1610612757,1610612758,243.0
595,2019-12-03,1610612739,1610612765,221.0
596,2019-12-03,1610612764,1610612753,247.0
597,2019-12-03,1610612761,1610612748,231.0
598,2019-12-03,1610612740,1610612742,215.0
599,2019-12-03,1610612759,1610612745,268.0
600,2019-12-03,1610612743,1610612747,201.0
601,2019-12-03,1610612746,1610612757,214.0
602,2014-06-15,1610612759,1610612748,191.0
603,2014-06-12,1610612748,1610612759,193.0
604,2014-06-10,1610612748,1610612759,203.0
